geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_phase6,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
CH,202009,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,8952,0,NA,NA,8670300,0,0,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-09,NA,NA,NA,NA
CH,202010,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,8952,0,1,100,8670300,0.03,0.03,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-10,3,0.03,NA,NA
CH,202011,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,8952,0,1,100,8670300,0.29,0.32,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-11,22,0.26,733.3,0
CH,202012,99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,127,8952,0,1,100,8670300,1.14,1.46,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-12,74,0.85,296,0
CH,202013,253,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,380,8952,0,1,100,8670300,2.92,4.38,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-13,154,1.78,155.6,0
CH,202014,385,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,765,8952,0,1,100,8670300,4.44,8.82,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-14,132,1.52,52.2,0
CH,202015,343,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1108,8952,0,1,100,8670300,3.96,12.78,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-15,-42,-0.48,-10.9,0
CH,202016,242,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1350,8952,0,1,100,8670300,2.79,15.57,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-16,-101,-1.17,-29.4,0
CH,202017,194,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1544,8952,0,1,100,8670300,2.24,17.81,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-17,-48,-0.55,-19.8,0
CH,202018,91,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1635,8952,0,1,100,8670300,1.05,18.86,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-18,-103,-1.19,-53.1,0
CH,202019,54,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1689,8952,0,1,100,8670300,0.62,19.48,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-19,-37,-0.43,-40.7,0
CH,202020,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1707,8952,0,1,100,8670300,0.21,19.69,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-20,-36,-0.41,-66.7,0
CH,202021,14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1721,8952,0,1,100,8670300,0.16,19.85,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-21,-4,-0.05,-22.2,0
CH,202022,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1725,8952,0,1,100,8670300,0.05,19.9,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-22,-10,-0.11,-71.4,0
CH,202023,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1726,8952,0,1,100,8670300,0.01,19.91,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-23,-3,-0.04,-75,0
CH,202024,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1730,8952,0,1,100,8670300,0.05,19.95,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-24,3,0.04,300,0
CH,202025,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1732,8952,0,1,100,8670300,0.02,19.98,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-25,-2,-0.03,-50,0
